Station,Latitude,Longitude,Oxygen (umol/kg),Temperature,Salinity,fluorescence,O2 (% saturated),Depth (m)
1,36.78862,-121.9186,161.186,9.8347,33.6139,5.79E-01,57.9072,16
1,36.78862,-121.91859,162.666,9.9913,33.5994,5.62E-01,58.63064,15
1,36.78863,-121.91858,170.202,10.1922,33.5804,6.37E-01,61.60768,14
1,36.78864,-121.91857,178.105,10.473,33.5497,6.16E-01,64.84062,13
1,36.78864,-121.91856,182.958,10.6629,33.5484,5.88E-01,66.87648,12
1,36.78864,-121.91856,188.191,10.76,33.5423,7.15E-01,68.92913,11
1,36.78864,-121.91856,189.432,10.7937,33.5379,7.23E-01,69.43213,10
1,36.78864,-121.91855,191.092,11.0782,33.5251,6.83E-01,70.45967,9
1,36.78864,-121.91854,198.609,11.3094,33.5139,6.99E-01,73.58364,8
1,36.78864,-121.91854,216.495,11.5433,33.5,8.45E-01,80.59666,7
1,36.78864,-121.91854,226.125,11.5955,33.5029,9.01E-01,84.27579,6
1,36.78864,-121.91854,228.989,11.5803,33.5073,1.13E+00,85.31846,5
1,36.78866,-121.91853,229.665,11.702,33.494,1.15E+00,85.78206,4
1,36.78866,-121.91852,240.587,11.8166,33.4998,1.30E+00,90.07808,3
1,36.78866,-121.91852,244.23,12.0163,33.5002,1.13E+00,91.82464,2
1,36.78867,-121.91848,259.376,12.3072,33.4943,1.08E+00,98.09827,1
2,36.79204,-121.8969,77.199,8.1083,34.0208,1.20E-01,26.77983,203
2,36.79206,-121.89688,76.811,8.1306,34.0165,1.15E-01,26.65764,202
2,36.79233,-121.89631,76.175,8.1021,34.0197,1.12E-01,26.42056,201
2,36.79234,-121.89625,76.017,8.1054,34.0191,1.17E-01,26.36765,200
2,36.79235,-121.89625,76.075,8.1095,34.0184,1.15E-01,26.39008,199
2,36.79236,-121.89623,76.133,8.1133,34.018,1.16E-01,26.41237,198
2,36.79236,-121.89622,75.906,8.1407,34.0128,1.20E-01,26.34892,197
2,36.79236,-121.89622,76.317,8.1421,34.0133,1.17E-01,26.49262,196
2,36.79236,-121.89621,76.357,8.1553,34.0105,1.17E-01,26.51356,195
2,36.79236,-121.8962,76.123,8.1809,34.0068,1.18E-01,26.44672,194
2,36.79236,-121.8962,76.764,8.1842,34.0058,1.20E-01,26.67106,193
2,36.79236,-121.89619,77.116,8.197,34.0052,1.25E-01,26.80093,192
2,36.79236,-121.89618,78.053,8.273,33.9945,1.33E-01,27.17057,191
2,36.79236,-121.89618,81.244,8.2604,33.9975,1.51E-01,28.27416,190
2,36.79237,-121.89617,80.912,8.3086,33.9913,1.48E-01,28.18736,189
2,36.79238,-121.89616,82.262,8.3301,33.9901,1.49E-01,28.67116,188
2,36.79238,-121.89616,81.203,8.4521,33.9706,1.47E-01,28.37472,187
2,36.79238,-121.89616,83.49,8.4491,33.9707,1.54E-01,29.1719,186
2,36.79238,-121.89615,86.387,8.4721,33.9685,1.55E-01,30.19919,185
2,36.79239,-121.89614,85.837,8.5326,33.9592,1.55E-01,30.04537,184
